Nombre;Codigo_Postal;Calle;Municipio;Distrito;Latitud;Longitud;Provincia;Pais;Tipo_Cocina;Sitio_Web;Direccion_Completa
La Viuda;29750;Carretera de Almería;Algarrobo-Costa;;36.7446199;-4.0418975;La Axarquía;España;No especificado;No disponible;La Viuda, 72, Avenida de Andalucía, Camarillas, Algarrobo-Costa, Algarrobo, La Axarquía, Málaga, Andalucía, 29750, España
La Competencia;29590;Calle Ramírez Arcas;Málaga;Campanillas;36.727966;-4.5463936;Málaga-Costa del Sol;España;No especificado;No disponible;La Competencia, Calle Ramírez Arcas, Campanillas, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29590, España
Frascati;29004;Calle Rogelio Oliva;Málaga;Guadalmar;36.6657895;-4.4647566;Málaga-Costa del Sol;España;No especificado;No disponible;Frascati, 29, Calle Rogelio Oliva, Guadalmar, Churriana, Guadalmar-San Julián, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España
Tapintxo;29650;Avenida del Compás;Mijas;;36.5951392;-4.6379379;Costa del Sol Occidental;España;No especificado;No disponible;Tapintxo, Avenida del Compás, Mijas Pueblo, Las Lomas de Mijas, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
The Wok;29631;Avenida de la Constitución;Arroyo de la Miel-Benalmádena Costa;Arroyo de la Miel;36.6004853;-4.5296409;Costa del Sol Occidental;España;No especificado;No disponible;The Wok, Avenida de la Constitución, Arroyo de la Miel, Arroyo de la Miel-Benalmádena Costa, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29631, España
La Sorpresa;29793;Paseo Marítimo;Torrox;Torrox-Costa;36.7281485;-3.9607261;La Axarquía;España;No especificado;No disponible;La Sorpresa, 4, Paseo Marítimo, Torrox-Costa, Castillo Bajo-Conejito, Torrox, La Axarquía, Málaga, Andalucía, 29793, España
Bella Vista Restaurant;29793;Paseo Marítimo de Ferrara;Torrox;Torrox-Costa;36.7292822;-3.9641093;La Axarquía;España;No especificado;No disponible;Bella Vista Restaurant, Paseo Marítimo de Ferrara, Torrox-Costa, Los Llanos, Torrox, La Axarquía, Málaga, Andalucía, 29793, España
Restaurante El Picadero;29793;Paseo Marítimo Ferrara;Torrox;Torrox-Costa;36.7285711;-3.9619163;La Axarquía;España;No especificado;No disponible;Restaurante El Picadero, Paseo Marítimo de Ferrara, Torrox-Costa, Los Llanos, Torrox, La Axarquía, Málaga, Andalucía, 29793, España
La Blanca Paloma;29793;Paseo Marítimo Ferrara;Torrox;Torrox-Costa;36.7278999;-3.9597121;La Axarquía;España;No especificado;No disponible;La Blanca Paloma, Paseo Marítimo de Ferrara, Torrox-Costa, Los Llanos, Torrox, La Axarquía, Málaga, Andalucía, 29793, España
Restaurante Holiday Lounge;29793;Paseo Marítimo de Ferrara;Torrox;Torrox-Costa;36.7288364;-3.9627498;La Axarquía;España;No especificado;No disponible;Restaurante Holiday Lounge, Paseo Marítimo de Ferrara, Torrox-Costa, Los Llanos, Torrox, La Axarquía, Málaga, Andalucía, 29793, España
Restaurante Pepe Rico;29793;Paseo Marítimo de Ferrara;Torrox;Torrox-Costa;36.7279965;-3.9602738;La Axarquía;España;No especificado;No disponible;Restaurante Pepe Rico, Paseo Marítimo de Ferrara, Torrox-Costa, Los Llanos, Torrox, La Axarquía, Málaga, Andalucía, 29793, España
Uppa Crust;29640;Calle Poeta Salvador Rueda;Fuengirola;Los Boliches;36.5515359;-4.6146923;Costa del Sol Occidental;España;No especificado;No disponible;Uppa Crust, Calle Poeta Salvador Rueda, Los Boliches, Fuengirola, Costa del Sol Occidental, Málaga, Andalucía, 29640, España
Bar One;29640;Calle Francisco Cano;Fuengirola;Los Boliches;36.5505449;-4.6157787;Costa del Sol Occidental;España;No especificado;No disponible;Bar One, Calle Francisco Cano, Los Boliches, Fuengirola, Costa del Sol Occidental, Málaga, Andalucía, 29640, España
La Pescia;29789;Avenida Ciudad de Pescia;Nerja;;36.7542878;-3.8747429;La Axarquía;España;No especificado;No disponible;La Pescia, 21, Avenida Ciudad de Pescia, Nerja, La Axarquía, Málaga, Andalucía, 29789, España
Beluga;29005;;Málaga;Centro Histórico;36.720385;-4.4219753;Málaga-Costa del Sol;España;No especificado;No disponible;Beluga, 3, Plaza de Las Flores, Centro Histórico, Centro, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29005, España
El Apartamento;29008;Calle Carretería;Málaga;Centro Histórico;36.7241887;-4.4211164;Málaga-Costa del Sol;España;No especificado;No disponible;El Apartamento, 92, Calle Carretería, Centro Histórico, Centro, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29008, España
H20;29780;Calle Paseo De Burriana;Nerja;;36.7504979;-3.8692364;La Axarquía;España;No especificado;No disponible;H20, Calle Paseo De Burriana, Nerja, La Axarquía, Málaga, Andalucía, 29780, España
El Nino;29780;Calle Almirante Ferrándiz;Nerja;;36.7491921;-3.8755807;La Axarquía;España;No especificado;No disponible;El Nino, Calle Almirante Ferrándiz, Imaroga, Nerja, La Axarquía, Málaga, Andalucía, 29780, España
Dal Toscana moved to Pintada;29780;Calle San José;Nerja;;36.7477239;-3.8758235;La Axarquía;España;No especificado;No disponible;Dal Toscana moved to Pintada, Calle San José, Nerja, La Axarquía, Málaga, Andalucía, 29780, España
Atalaya Golf & Country Club;29688;Calle del Rubi;Estepona;El Campanario Estepona;36.4812488;-5.0175617;Costa del Sol Occidental;España;No especificado;No disponible;Atalaya Golf & Country Club, Calle del Rubi, Golf Park, El Campanario Estepona, Estepona, Costa del Sol Occidental, Málaga, Andalucía, 29688, España
El Mirador;29788;Calle Santo Cristo;Mijas;Urbanización Sitio de Calahonda;36.4974438;-4.7080917;Costa del Sol Occidental;España;No especificado;No disponible;El Mirador, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
Sinatra's;29780;Calle Trancos;Nerja;;36.7483261;-3.8752424;La Axarquía;España;No especificado;No disponible;Sinatra's, Calle Trancos, Nerja, La Axarquía, Málaga, Andalucía, 29780, España
La Bodeguilla;29532;;Mollina;;37.0857219;-4.6274603;Antequera;España;No especificado;No disponible;La Bodeguilla, Mollina, Antequera, Málaga, Andalucía, 29532, España
Pizzeria Roima;29770;Avenida Miguel de Cervantes;Torrox;El Peñoncillo;36.7400696;-3.9508613;La Axarquía;España;No especificado;No disponible;Pizzeria Roima, Avenida Miguel de Cervantes, Las Flores, El Peñoncillo, Torrox Park, Torrox, La Axarquía, Málaga, Andalucía, 29770, España
Axarquía;;;;;36.8664777;-4.1110172;La Axarquía;España;No especificado;No disponible;La Axarquía, Málaga, Andalucía, España
