,,,,,,,,,,,,,,,,,,,,,
INDICADOR COMPUESTO DE ACTIVIDAD PARA LA CIUDAD DE MÁLAGA,,,,,,,,,,,,,,,,,,,,,
(Base 100= 1er trimestre 2005),,,,,,,,,,,,,,,,,,,,,
Fuente: Analistas Económicos de Andalucía,,,,,,,,,,,,,,,,,,,,,
,,Dato,Tasa de variación interanual en %,,,,,,,,,,,,,,,,,,
,2010,84,56,161,112,78,59,261,345,770,3.979,23.365,,,,,,,,,
,2011,83,56,164,107,78,59,257,345,766,4.004,23.434,,,,,,,,,
,2012,79,52,164,106,75,59,268,338,783,4.045,23.444,,,,,,,,,
,2013,79,48,161,112,72,63,262,339,779,4.032,23.190,,,,,,,,,
,2014,93,50,156,116,68,60,257,344,799,4.039,22.955,,,,,,,,,
,2015,87,49,155,119,73,60,245,347,811,4.042,22.922,,,,,,,,,
,2016,78,53,161,109,66,57,244,344,781,3.984,22.823,,,,,,,,,
,2017,78,55,171,112,66,60,244,346,761,3.958,22.742,,,,,,,,,
,2018,80,51,162,112,67,59,248,340,780,3.935,22.807,,,,,,,,,
,2019,82,49,170,109,62,58,253,344,788,3.958,23.027,,,,,,,,,
,2020,81,46,156,96,61,57,245,331,789,3.887,22.733,,,,,,,,,
,2021,82,47,159,103,66,54,249,330,811,4.023,23.203,,,,,,,,,
,2022,81,50,156,104,61,52,254,337,820,4.025,23.415,,,,,,,,,
,2023,85,52,157,108,72,54,270,347,865,4.139,24.120,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
POBLACIÓN OCUPADA EN LAS CAPITALES DE PROVINCIA DE ANDALUCIA,,,,,,,,,,,,,,,,,,,,,
(Miles de personas),,,,,,,,,,,,,,,,,,,,,
"Fuente: Encuesta de Población Activa, INE",,,,,,,,,,,,,,,,,,,,,
,,Almería ,Cádiz,Córdoba, Granada,Huelva,Jaén,Málaga,Sevilla,Provincia de Málaga,Andalucía,España,,,,,,,,,
,1999,60,38,93,73,45,37,159,218,392,2.166,14.690,,,,,,,,,
,2000,59,40,100,75,51,37,161,238,420,2.285,15.506,,,,,,,,,
,2001,63,44,103,80,51,39,171,269,440,2.413,16.146,,,,,,,,,
,2002,64,42,105,86,53,41,176,287,479,2.548,16.790,,,,,,,,,
,2003,71,40,112,92,54,45,197,279,491,2.659,17.476,,,,,,,,,
,2004,71,43,128,88,56,44,204,281,521,2.790,18.142,,,,,,,,,
,2005,76,44,129,95,60,49,219,296,580,2.999,19.207,,,,,,,,,
,2006,83,44,137,92,60,49,236,295,606,3.139,19.939,,,,,,,,,
,2007,77,46,137,87,65,49,236,293,636,3.239,20.580,,,,,,,,,
,2008,70,46,137,91,68,50,225,301,603,3.161,20.470,,,,,,,,,
,2009,65,44,122,90,60,46,199,274,557,2.932,19.107,,,,,,,,,
,2010,62,43,121,84,58,48,188,274,546,2.874,18.724,,,,,,,,,
,2011,59,41,118,79,57,47,174,270,531,2.798,18.421,,,,,,,,,
,2012,53,38,117,73,51,43,176,247,515,2.655,17.633,,,,,,,,,
,2013,53,33,112,77,50,43,173,232,500,2.572,17.139,,,,,,,,,
,2014,56,31,112,80,47,45,174,243,538,2.634,17.344,,,,,,,,,
,2015,58,30,119,84,54,46,173,254,571,2.767,17.866,,,,,,,,,
,2016,55,33,122,81,47,45,177,268,577,2.833,18.342,,,,,,,,,
,2017,57,37,129,87,52,50,187,277,590,2.949,18.825,,,,,,,,,
,2018,59,37,129,88,51,49,196,273,630,3.031,19.328,,,,,,,,,
,2019,64,34,139,86,47,47,213,282,649,3.120,19.779,,,,,,,,,
,2020,61,34,124,75,49,46,196,269,628,3.021,19.202,,,,,,,,,
,2021,63,37,126,84,51,46,200,272,646,3.151,19.774,,,,,,,,,
